Symbol,Price,PrevClose,RSI,ATR14,ATR%,MACD_Hist,SMA20,SMA50,SMA200,Above_SMA20,Above_SMA50,Above_SMA200,Ret_5d,Ret_20d,Ret_60d,High_52w,Low_52w,Pct_52w,BB_Pos,VolRatio,AvgVol,Score
NVDA,217.5500030517578,223.9600067138672,57.47378174245375,7.972856794084821,3.664838741550365,2.2867455735533655,207.51799850463868,206.11967193603516,,True,True,False,5.279715299232568,6.888421538126122,-3.5541995320767406,236.26463268418732,189.8000030517578,0.5972284772207067,0.7817538693585464,0.989907645798441,126929255.0,12
AVGO,422.3999938964844,427.760009765625,67.56360094347707,16.215709141322545,3.8389463483980193,4.999584176279248,393.7750015258789,394.7618310546875,,True,True,False,7.69191088521981,9.98568085469882,1.506395593831944,494.21781760890264,356.42999267578125,0.47877961099047206,0.8980062825205423,0.951281047538954,18686465.0,12
ISRG,393.3800048828125,378.80999755859375,68.9468078290675,12.38714599609375,3.148900768300074,5.547038274600517,363.6234985351563,392.57379821777346,,True,True,False,4.786766747131543,-3.374923953420661,-8.996688439925293,449.7699890136719,328.57000732421875,0.5347360342401235,0.8843843569085578,0.7121748417994097,4353650.0,12
INTU,334.42999267578125,325.25,70.49073416105333,15.021432059151786,4.491652180764351,2.5458404044462988,306.3600021362305,291.62507598876954,,True,True,False,5.037839533081745,15.416200098242673,-9.630785594200198,422.120124577389,251.72492815683486,0.4853720425006652,0.8790292104918362,0.8167391006111372,3863290.0,12
SOFI,18.1200008392334,18.3799991607666,52.948412764430884,0.8509999683925084,4.69646759921735,0.16779907418378373,17.353999900817872,17.460799922943114,,True,True,False,0.49916888053449515,-0.05514794261457512,18.35401922011868,19.739999771118164,14.880000114440918,0.6666668628959638,0.7123899957891372,0.6460533650347282,78431880.0,12
ORLY,92.2300033569336,93.52999877929688,61.61397153493613,2.572143009730748,2.788835428940035,0.5681321414572117,88.82900047302246,88.51780014038086,,True,True,False,2.751783825666987,5.67140770722705,2.820520061055576,94.12000274658203,82.58999633789062,0.836079935894594,0.7656302032180656,0.6447645947996191,7744625.0,11
CRM,197.50999450683594,192.74000549316406,66.84669306379568,9.105711800711495,4.610253685362915,2.037478086641494,178.03000030517578,172.49191131591797,,True,True,False,6.216723715145522,15.35451062883999,19.40410373643826,210.79593571576444,146.32000732421875,0.7939395129257169,0.9179223559815058,0.8465254018340643,12598795.0,11
GOOGL,357.5199890136719,354.29998779296875,54.246866254533025,13.222141810825892,3.6982944218876295,2.5698213753883605,349.0124969482422,355.8269152832031,,True,True,False,-4.28101532325379,1.421230350700653,-11.148595123144723,408.36608091552193,314.8999938964844,0.45599421647454313,0.6252813176594574,0.8973888849123541,32691780.0,11
HON,242.92999267578125,246.2100067138672,62.14005592712749,7.462141854422433,3.0717252210111177,0.31051468128959225,238.38799972534179,234.64104125976561,,True,True,False,-1.5561095474310171,9.304833599901574,6.857568658846791,252.0,215.54273986816406,0.7512153329290245,0.6207691941236091,0.9526196921880375,3342950.0,11
FTNT,164.2100067138672,159.63999938964844,57.391720092076916,7.335717337472098,4.46727789875464,0.2668972547053339,159.12600021362306,153.56359954833985,,True,True,False,0.6127075294795947,2.235096317902663,39.527575246352484,172.08999633789062,112.0999984741211,0.868644942413267,0.7324210300315096,0.9349328387231879,5682590.0,11
NET,310.5899963378906,300.2699890136719,68.36148003284798,17.46871076311384,5.624363620555777,2.3064832193881433,278.89349975585935,258.72659942626956,,True,True,False,9.850041403916588,15.233924885747307,61.24494040659263,324.7300109863281,185.75,0.8982586449080905,1.0821607985761303,1.65940098416297,3815425.0,11
ZS,176.67999267578125,168.67999267578125,73.3388815184807,7.567640032087054,4.283246743152261,2.3709783092248866,152.9525001525879,142.3829997253418,,True,True,False,14.385591736426617,24.58044249840441,15.908942573775352,191.25,119.5,0.7969336958297039,1.136387745823079,1.0339357323299239,2264280.0,11
ADP,273.67999267578125,271.32000732421875,73.43803153761638,8.895712716238839,3.250406662637289,0.5812721846310716,259.7569999694824,241.2759994506836,,True,True,False,1.445620103095524,9.014136366832837,32.17484118989613,280.5899963378906,203.01970570940014,0.9109194563263447,0.8130602588404358,0.8796985323284411,2521000.0,11
MDLZ,61.529998779296875,62.61000061035156,56.816319056919646,1.750000272478376,2.844141568660655,0.03217191198998237,61.41649990081787,60.8664427947998,,True,True,False,-0.3239928145513882,2.7898398795815016,0.8546091481532958,66.6500015258789,57.779998779296875,0.4227732625500061,0.518606337775231,0.7922612245732706,9779325.0,11
COST,952.75,947.8200073242188,62.20531884404251,18.665220646228754,1.9590890208584364,1.4362530619196778,942.911245727539,949.4663854980469,,True,True,False,-0.13940309680738894,3.004519769164804,-7.629145527984482,1094.7594789612422,905.7699043838991,0.24858564670123928,0.6613746649997605,0.9095709895513214,2033750.0,11
PLTR,175.22999572753906,172.00999450683594,72.62676132186813,9.632501874651227,5.497062209388268,5.3101841159030325,137.2974998474121,133.23839950561523,,True,True,False,39.45880907247634,34.750849565158525,34.74047798199615,179.60000610351562,106.37000274658203,0.940324864459223,1.0465492225072281,1.7721603892488618,46843040.0,11
PLTR,175.22999572753906,172.00999450683594,72.62676132186813,9.632501874651227,5.497062209388268,5.3101841159030325,137.2974998474121,133.23839950561523,,True,True,False,39.45880907247634,34.750849565158525,34.74047798199615,179.60000610351562,106.37000274658203,0.940324864459223,1.0465492225072281,1.7721603892488618,46843040.0,11
AMZN,278.0899963378906,274.4800109863281,65.92948196028863,10.197859627859932,3.667107685336915,3.8324314940056547,253.1315010070801,247.58880004882812,,True,True,False,-2.087878637125007,12.445917707796816,2.94672613600675,287.20001220703125,225.5500030517578,0.8522300970597444,0.8322270235669589,0.858381422438465,50114435.0,10
PANW,385.0400085449219,363.8599853515625,68.49504533550909,14.856427873883929,3.858411475219635,3.5047006095165028,344.37949829101564,318.4981988525391,,True,True,False,10.920981513801253,16.572819489858425,69.0328898957661,385.1700134277344,205.64999389648438,0.9992758195818385,1.0212356661186581,0.9753459710266978,6174650.0,10
CRWD,225.16000366210938,214.4199981689453,74.79225220984384,9.107429504394531,4.044870028542799,2.987042787688358,197.85299987792968,187.06179962158203,,True,True,False,11.1681698063556,19.823319287982734,60.09385550648156,226.89999389648438,130.5,0.9819503076292367,1.007302327432856,0.8827559612574751,8298375.0,10
ADI,383.92999267578125,389.92999267578125,50.577792975674754,13.542861938476562,3.5274300515284707,2.87181881652511,376.4929992675781,394.26339233398437,,True,False,False,6.0931766042473745,-0.5388505575559255,-10.964268347306938,445.9100036621094,352.7300109863281,0.3348356314859684,0.6811352065349205,0.8704721577740934,3941585.0,10
SNPS,411.67999267578125,415.989990234375,61.101833992454964,13.567858014787946,3.295729269377761,6.046614561426004,394.13049774169923,433.32359985351565,,True,False,False,5.001654037603087,-5.103502437565311,-19.164311643389688,539.47998046875,366.0,0.26331564340941266,0.7444328222394271,0.6754816094594189,2002660.0,10
NOW,127.44000244140625,124.87999725341797,71.56696674237281,7.2685715811593195,5.703524358061142,2.1082351530891192,109.11150016784669,107.69000045776367,,True,True,False,11.603467656285327,14.542513027605786,46.3986191541355,139.1999969482422,85.44000244140625,0.7812500798276574,0.992447059900019,0.7433442437528719,25603965.0,10
PANW,385.0400085449219,363.8599853515625,68.49504533550909,14.856427873883929,3.858411475219635,3.5047006095165028,344.37949829101564,318.4981988525391,,True,True,False,10.920981513801253,16.572819489858425,69.0328898957661,385.1700134277344,205.64999389648438,0.9992758195818385,1.0212356661186581,0.9753459710266978,6174650.0,10
DDOG,260.7799987792969,233.92999267578125,52.02844780217083,17.804142543247767,6.827265367968558,-2.1262246502500988,259.1800018310547,249.78700042724608,,True,True,False,-4.6856750870715835,0.20750405978555708,27.017681496427116,292.7200012207031,193.16000366210938,0.679188396699099,0.5268196816939359,1.6733637043797764,5105740.0,10
TEAM,151.8699951171875,149.07000732421875,80.3948831046243,9.92214366367885,6.533314007169502,5.570711061733058,102.18375015258789,94.87269989013672,,True,True,False,46.43717718432156,57.93468108719502,88.3775613287562,153.99000549316406,74.41000366210938,0.9733600109676139,1.1657330268954251,1.7505022879886327,5236040.0,9
MRVL,208.55999755859375,218.72000122070312,50.226925385806624,17.80000196184431,8.534715271486085,4.855435824972943,199.11149978637695,240.92844848632814,,True,False,False,7.627205528125924,-4.123569747179545,17.230371923420496,329.79864574979393,157.92104665109446,0.2946221681769027,0.6501116922124295,0.9108209147000612,23737180.0,9
WDAY,184.19000244140625,179.63999938964844,73.50820689657473,10.63999993460519,5.776643571080869,2.8594052322975436,154.5294994354248,141.94979934692384,,True,True,False,11.596485329143768,27.141581175875796,58.103006387473165,185.82000732421875,111.5,0.9780677513162552,0.9540467521225539,0.752845492123785,4475500.0,9
NFLX,76.29000091552734,74.13999938964844,79.85897563912687,2.2149990626743863,2.903393676881666,0.7395422063728078,72.04049911499024,75.46779922485352,,True,True,False,4.036545766482069,3.3319775476937874,-12.871170577094526,91.4800033569336,65.08000183105469,0.42462115289970437,0.9272024957224667,0.6508628289211085,46849380.0,9
MSFT,506.05999755859375,499.989990234375,84.50021521916388,18.05356924874442,3.5674760573530815,10.303926832373804,429.58899993896483,408.59339721679686,,True,True,False,3.7752494396662284,29.430422823674142,25.158822497164923,513.72998046875,349.20001220703125,0.9533824567573272,0.8895146599976185,0.9038927653507639,39896060.0,9
SMCI,31.459999084472656,31.1299991607666,63.80907919084586,2.5500000544956754,8.10553124190728,0.5624221028580589,28.364999866485597,31.6589998626709,,True,False,False,9.846367859363415,13.7382474982771,-1.6875028610229492,51.400001525878906,23.3799991607666,0.28836542618449096,0.8063179897716164,0.9104650648920343,45482470.0,9
INTC,97.5199966430664,101.6500015258789,42.349991455020806,7.420714242117746,7.609428319894588,1.631377383439121,96.67649955749512,110.17999969482422,,True,False,False,7.164831475897149,-5.430572104694054,-18.929257709833248,142.35000610351562,81.79000091552734,0.2597423114266677,0.5317503559548388,0.8117744744430588,114659555.0,9
MSTR,97.33000183105469,100.01000213623047,44.738047660939344,5.547143118722098,5.69931471731689,1.1529710180719142,96.6620002746582,105.25499954223633,,True,False,False,2.603838503911615,5.678613945257727,-45.32943745524914,197.0,81.80999755859375,0.13473395210973718,0.5631035688292818,1.0469239660394094,15581590.0,9
TXN,280.44000244140625,286.0799865722656,43.820998901907785,11.304072948253065,4.0308347061203875,0.8710804315625467,282.7368392944336,292.93951599121095,,False,False,False,4.237285732386131,-5.591365261223757,-7.985939742755965,332.32845736493783,264.739990234375,0.2322883307399623,0.4358408793583883,0.773675997936055,8042850.0,8
QCOM,162.1699981689453,167.86000061035156,42.18728265798824,7.81999751499721,4.822098787255643,1.5770073242860647,165.30000076293945,190.0899478149414,,False,False,False,6.993461986217664,-11.854548355840144,-23.643585340795614,258.9635412258548,142.88999938964844,0.1661015807246001,0.4133158472338119,0.8097645776587857,12914025.0,8
BKNG,212.8800048828125,214.4199981689453,75.02992211352561,8.359998430524554,3.9270942497049535,2.4093700155530753,190.65850067138672,179.8720654296875,,True,True,False,10.466502758672735,21.09215084605991,37.66056925169381,215.69000244140625,149.76350628582819,0.9573768101983986,0.9297426417507756,1.2067718598512678,6431025.0,8
SNOW,334.70001220703125,330.489990234375,84.6255047242966,15.356004987444196,4.5879905668917695,4.381968205394985,288.7839981079102,264.1105987548828,,True,True,False,8.834914816630079,24.58589979942345,119.66267830461899,340.5,146.0500030517578,0.9701723431010773,0.9886941436351843,1.0553728278549133,5130585.0,8
REGN,808.0499877929688,784.3599853515625,85.39911572869771,23.869293212890625,2.953937698592751,9.63837632591137,709.7189971923829,660.4411999511718,,True,True,False,6.428796979401241,21.86127902193533,12.415525480167823,809.0900268554688,591.52001953125,0.9952197498391855,0.9667367707822425,1.0147918232740851,824780.0,8
MU,861.0,877.5700073242188,40.58018162493281,79.18642752511161,9.19702991000135,3.675796362993836,884.4645050048828,969.6182653808594,,False,False,False,3.797468354430378,-8.110992529348982,7.1553369937930045,1254.8069810301963,652.1097534544188,0.3465923468501725,0.4043477482596284,0.752954452283811,45212695.0,7
AMAT,522.1199951171875,539.1400146484375,43.01793852855575,35.60642351422991,6.8195862727375935,2.1200553848113657,531.7994979858398,554.5573980712891,,False,False,False,0.7545151538457917,-9.258071599278262,19.733653802010377,739.6699829101562,396.87662146355484,0.3653611409658014,0.43222551418965666,0.789747211996903,7361900.0,7
CDNS,331.9100036621094,339.239990234375,41.78602554908237,13.021429879324776,3.9231809031525415,0.9731184118815754,341.18399810791016,367.54360046386716,,False,False,False,-1.2613387807112963,-12.174536444448714,-6.385554903496282,416.69000244140625,320.07000732421875,0.12254188507803429,0.33287378460252165,0.7378143738646696,2468995.0,7
LRCX,306.3999938964844,311.3500061035156,45.35492947354093,23.629287719726562,7.711908678336851,2.9721955095904153,306.8214965820313,337.5408538818359,,False,False,False,4.001903917429228,-7.129006599777499,3.7827768665878336,438.5,250.5,0.29734039306640625,0.4949602667202345,0.8210704537306863,11269240.0,7
RIVN,16.389999389648438,16.0,40.44629829389397,0.8349999019077846,5.094569450900359,-0.07111849984401489,16.515999937057494,16.598200035095214,,False,False,False,6.7404746223871825,-5.314847514028265,14.856334014561078,20.200000762939453,12.649999618530273,0.49536413300912624,0.46199300323348236,0.7054374448070405,25744905.0,5
KLAC,192.74000549316406,198.11000061035156,36.82310574596102,12.622856140136719,6.549162488523648,0.5656291065390473,201.93300094604493,221.43214050292968,,False,False,False,5.466487273961174,-13.277837798351378,4.333116072635823,307.3699951171875,169.0279998779297,0.17140135628538003,0.3606480379271846,0.914819425311188,12202430.0,5
META,594.9199829101562,592.0999755859375,35.20903824606265,22.544281005859375,3.789464407562852,-1.405121455799824,609.1759948730469,598.8284826660156,,False,False,False,0.79289657651338,-9.411782528106304,-3.431333259556557,686.0800170898438,524.489990234375,0.4358560614559219,0.4040092066394126,0.8334204066800593,17006735.0,4
AAPL,308.260009765625,313.05999755859375,37.33813024939455,9.42096708078995,3.056175560350128,-3.013490403295091,322.7139724731445,309.43884521484375,,False,False,False,1.6827630638520663,-2.7683085797255313,3.230793711106661,344.2730974331505,273.5141152813601,0.49104570794600866,0.19109108818858567,0.8607584300957722,56413505.0,4
COIN,148.67999267578125,153.60000610351562,32.736051564563326,9.344285147530693,6.284830244717115,-1.1360575912707422,158.41499938964844,160.12859924316408,,False,False,False,1.4880496080418082,-5.522019896445396,-26.323096914102774,222.35000610351562,139.11000061035156,0.11496866210821678,0.21423712860690336,0.8885536493597486,7828565.0,3
AMD,469.55999755859375,483.3599853515625,37.58992893095352,37.75285775320871,8.040049823132078,-2.007594608840895,500.20400390625,513.1129998779297,,False,False,False,-3.111591415080106,-12.131592154186087,5.400672852658528,584.72998046875,393.3599853515625,0.398181607102876,0.26397019837234564,1.1316126837070546,29860040.0,2
