Ticker,Close,SMA20,SMA50,SMA200,RSI,ATR,PctBelow20dHigh,PctAboveSMA50,4hBullCross,Above200,HH,VolRatio,Vol20,MACD,SwingScore
AAPL,316.3999938964844,315.8521194458008,309.2047375488281,316.3999938964844,37.22430768370949,6.278585219019086,8.09621888683254,2.3270200853633476,1,0,1,0.2514790287641944,51159578.05,-1.859420913342717,146.5640159666844
MSFT,482.0950012207031,462.92574920654295,416.52789794921875,482.0950012207031,65.19138884800535,11.05356924874442,6.157900151979006,15.741347360958285,0,0,1,0.12161654458472244,36650580.85,10.828852300431492,134.40894590847896
NVDA,218.47999572753906,212.42499923706055,207.13619903564452,218.47999572753906,73.22631018086767,5.457142421177456,4.141805246246476,5.476491672970435,0,0,1,0.2311910492017371,114750757.4,3.536461417012049,114.21472285162665
GOOGL,343.2019958496094,345.9180969238281,352.4418389892578,343.2019958496094,55.24758324382385,9.528568812779017,10.736062722955594,-2.621664659946929,0,0,0,0.1515839758505041,29021293.15,-1.959412198466623,132.82596982090104
AMZN,261.42999267578125,258.50949935913087,248.909599609375,261.42999267578125,64.94870100486776,6.593564714704241,8.972847644823009,5.030096503330957,0,0,1,0.15461910101680462,47470693.8,1.1363665969071235,128.13122241951845
META,547.1500244140625,581.8184936523437,594.1679650878906,547.1500244140625,52.60490051339085,18.451420375279017,10.981859158689018,-7.913240604762847,0,0,0,0.3078503374459617,16728300.65,-11.768051349008374,135.34264909149235
TSLA,342.0400085449219,323.9244979858398,367.08159729003904,342.0400085449219,73.629511370984,10.372861589704241,2.6248365781391074,-6.82180445164928,1,0,0,0.23514600547994954,38113562.6,1.6297176413523289,113.01765674313779
AVGO,359.70001220703125,398.021501159668,388.9846142578125,359.70001220703125,37.38344175843782,14.616431100027901,16.876573596741874,-7.528473100833727,0,0,0,0.6105189426632309,18374266.9,-6.479110138644103,112.56436016808783
ORCL,138.97000122070312,137.87449989318847,147.45899795532227,138.97000122070312,59.262866282624664,6.7121429443359375,12.740169525286465,-5.756852313068872,0,0,0,0.27000906684617176,30288756.95,2.1646775257907223,122.22575651557301
AMD,466.3399963378906,487.0580032348633,509.9366009521484,466.3399963378906,45.42133172043902,22.68249293736049,16.199751204602297,-8.549416639804761,0,0,0,0.23757239156103382,27147363.2,-3.4161273018734732,128.46807951867453
ADBE,271.4549865722656,254.90574569702147,231.20229858398437,271.4549865722656,63.87628933443071,10.280002049037389,0.7114145455888984,17.410159083543643,1,0,1,0.19385520379898605,4894390.15,5.25531000906301,155.59679360011594
AMAT,495.9200134277344,519.3570007324219,560.8595977783203,495.9200134277344,48.7125374400603,23.713572910853795,13.975954165983781,-11.57858127200193,0,0,0,0.22374786286061105,7759028.3,-5.782407393782364,134.64780716112776
MU,930.5999755859375,894.4195007324219,962.1386694335938,930.5999755859375,57.248368739201844,54.532849993024556,10.185018173352733,-3.277977993153833,0,0,0,0.28831211357726555,40142371.6,18.84505737629604,128.771764438343
QCOM,161.66000366210938,161.42199935913087,180.02579986572266,161.66000366210938,59.88212059421149,5.962843758719308,7.065244898963481,-10.201757868767663,0,0,0,0.17642813859433062,11120720.4,-0.7470270297944239,121.60225742771145
INTU,362.239990234375,326.7165008544922,295.82576080322264,362.239990234375,71.71125226386872,12.52071053641183,0.13783977875638637,22.450455041787173,1,0,1,0.2138821601190661,3529434.15,11.703745983330748,142.73380310377797
TXN,271.31781005859375,277.5477554321289,289.9609051513672,271.31781005859375,45.845745117563716,8.958570207868304,6.319378968012283,-6.429520242751774,0,0,0,0.2069893775282126,7176846.55,-2.0820767863998526,135.3170406297454
KLAC,187.74000549316406,195.9078224182129,220.99681762695312,187.74000549316406,55.35395064224145,8.875492397214314,14.563301373550598,-15.048547979513078,0,0,0,0.2383377252102448,11534191.65,-1.3084781606167724,124.48617403898525
LRCX,312.9224853515625,308.20812072753904,337.8531689453125,312.9224853515625,55.8661695398421,15.488928658621651,9.37138367184058,-7.3791474774609815,0,0,0,0.22819079430244954,10388675.0,4.925038114121946,129.89239534566502
PANW,353.5006103515625,354.82003021240234,332.03961181640625,353.5006103515625,60.78323106352556,15.173575265066964,11.376703263073333,6.4633850213698665,0,0,0,0.22254283586079832,5509469.65,6.00951561337223,125.97687875209714
CRWD,198.2550048828125,203.29474945068358,191.8933493041992,198.2550048828125,57.94768787632948,8.861069815499443,12.854942908653847,3.3152037846441837,0,0,0,0.44935314172461943,7033194.4,2.3959393820738626,129.3347546853362
SNPS,402.5,398.07949981689455,422.71399963378906,402.5,67.63297983341782,11.312138148716517,5.467612110958755,-4.781956512275701,0,0,0,0.11755319398271556,1589331.55,2.304757768119998,109.60925602154713
CDNS,314.0299987792969,331.1154983520508,356.6972003173828,314.0299987792969,31.153431042747314,9.749280657087054,11.687617195817394,-11.96174276112103,0,0,0,0.1581049512930353,2290668.3,-6.631035218548959,100.48218210702542
ADI,377.6099853515625,376.65350036621095,389.77520080566404,377.6099853515625,57.243102725773525,11.108579363141741,4.8721567604794185,-3.1210850328486988,0,0,0,0.3625287209479777,3741607.0,1.0692363174433126,131.51717365178888
